Establishment ID,Establishment Name,Establishment Type,Establishment Address
10772282,MARTIN LUTHER CHILD CARE,Child Care - Catered,2379 LAKE SHORE BLVD W
10773514,MARTIN LUTHER CHILD CARE,Child Care - Catered,5 SUPERIOR AVE
10775723,MARTIN'S BAKERY,Food Take Out,"2761 MARKHAM RD, Unit-15"
10812023,MARTINE'S,Restaurant,293 PALMERSTON AVE
9053498,MARTINGROVE CHILD CARE CENTRE,Child Care - Food Preparation,256 JOHN GARLAND BLVD
10814268,MARTINGROVE COLLEGIATE INSTITUTE,Student Nutrition Site,50 WINTERTON DR
10328143,MARTINGROVE FISH & CHIPS,Restaurant,5 LAVINGTON DR
9392370,MARTINO'S PIZZA,Food Take Out,178 DUPONT ST
10685111,MARTINS SMOKE AND GIFT SHOP,Food Store (Convenience/Variety),1913 ELLESMERE RD
10798867,MARUSYA'S KITCHEN,Restaurant,2432 BLOOR ST W
10561288,MARVEL COFFEE COMPANY,Restaurant,538 DANFORTH AVE
10723710,MARVELOUS BY FRED,Bakery,224 QUEEN ST W
10689563,MARVELOUS SOUPS AND CAFE,Food Take Out,"1921 EGLINTON AVE E, Unit-567"
10623707,MARY BE KITCHEN,Restaurant,21 ST CLAIR AVE W
10739217,MARY BROWN'S,Restaurant,"2215 STEELES AVE W, Unit-C001"
10752148,MARY BROWN'S,Restaurant,"11 INDUSTRIAL ST, Unit-1"
10784907,MARY BROWN'S,Food Take Out,555 REXDALE BLVD
10814098,MARY BROWN'S #140,Food Take Out,1 BLUE JAYS WAY
10794024,MARY BROWN'S CHICKEN,Food Take Out,1320 QUEEN ST W
10797916,MARY BROWN'S CHICKEN,Restaurant,"2151 ST CLAIR AVE W, Unit-102A"
10716050,MARY BROWN'S DANFORTH,Restaurant,519 DANFORTH AVE
10722568,MARY BROWN'S,Restaurant,114 ELLESMERE RD
10775714,MARY BROWNS,Restaurant,"2277 SHEPPARD AVE W, Unit-C1"
10566069,MARY BROWNS FAMOUS CHICKEN & TATERS,Restaurant,3199 DUFFERIN ST
10765350,MARY BROWNS FRIED CHICKEN AND TATERS,Restaurant,636 BLOOR ST W
10752919,MARY BUN,Food Take Out,5427 YONGE ST
10623538,MARY MACLEOD'S SHORTBREAD,Bakery,"80 GALAXY BLVD, Unit-16"
9009709,MARY WARD CHILD CARE CENTRE,Child Care - Food Preparation,3200 KENNEDY RD
9009710,MARY WARD SCHOOL CAFETERIA,Cafeteria - Private Access,3200 KENNEDY RD
10647155,MARY'S BRIGADEIRO,Restaurant,1912 DANFORTH AVE
10766408,MARY'S MARKET,Food Store (Convenience/Variety),2008 SHEPPARD AVE E
10573542,MARY'S VARIETY,Food Store (Convenience/Variety),675 BROADVIEW AVE
9009721,MARYVALE JUNIOR Y,Child Care - Catered,1325 PHARMACY AVE
10780743,MASA DELI,Food Take Out,985 DOVERCOURT RD
10755044,MASALA BLVD,Food Take Out,3260 LAKE SHORE BLVD W
10708695,MASALA BOYS,Food Take Out,25A SLAN AVE
10788763,SMASH SMASH,Food Take Out,"2889 ST CLAIR AVE E, Unit-3A"
10467498,MASALA CAFE,Food Take Out,59 FOUR WINDS DR
10765016,MASALA GUYS,Food Take Out,234A PARLIAMENT ST
10675255,MASALA KING,Restaurant,2286 KINGSTON RD
9072472,MASARYK COWAN CRC -KITCHEN # 1,Community Kitchen (Meal Program),220 COWAN AVE
10502072,MASARYK COWAN CRC -KITCHEN # 2,Community Kitchen (Meal Program),220 COWAN AVE
10682213,MASCOT BREWERY,Restaurant,220 KING ST W
10771340,MASCOT BREWERY,Restaurant,37 ADVANCE RD
10190737,MASELLIS SUPERMARKET,Supermarket,"906 DANFORTH AVE, Unit-1"
10569337,MASHION BAKERY,Bakery,345 SPADINA AVE
10514142,MASHU MASHU,Restaurant,387 SPADINA RD
9009726,MASON ROAD JPS SNP,Student Nutrition Site,78 MASON RD
10748804,MASSAWA MINI MART,Supermarket,450 PARLIAMENT ST
9009731,MASSEY COLLEGE CAFETERIA,College / University Food Services,4 DEVONSHIRE PL
10743896,MASSEY HALL,Serving Kitchen,178 VICTORIA ST
10611526,MAST COFFEE,Restaurant,68 SHUTER ST
10766502,MASTER BUTCHERS SHOP,Butcher Shop,2155 LAWRENCE AVE E
10796596,MASTER POT,Restaurant,"280 SPADINA AVE, Unit-C"
10804818,MASTER SUPERMARKET,Supermarket,329 RONCESVALLES AVE
10278177,MASTER'S BUFFETERIA,Restaurant,"310 BLOOR ST W, Unit-1"
10795574,200 Level - MASTERCARD LOUNGE,Private Club,40 BAY ST
10261653,MASTRO CAFFE,Restaurant,349B OAKWOOD AVE
10383838,MASTRO'S PLACE,Restaurant,890 WILSON AVE
10247455,MATAGALI RESTAURANT,Restaurant,69 ELM ST
